Name	Raw_1	Raw_2	Derep_1	Derep_2	Bmtagger_1	Bmtagger_2	Trimmo_1	Trimmo_2	Trimmo_solo_1	Trimmo_solo_2
SRR2236827	4056331.0	4056331.0	4051251.0	4051251.0	4050541.0	4050541.0	3382112.0	3382112.0	199077.0	123512.0
SRR2231383	4089609.0	4089609.0	4085279.0	4085279.0	4084586.0	4084586.0	3400120.0	3400120.0	207720.0	125090.0
SRR2244169	5517298.0	5517298.0	5511873.0	5511873.0	5510685.0	5510685.0	4547930.0	4547930.0	309755.0	162385.0
SRR2244182	5562466.0	5562466.0	5555313.0	5555313.0	5554111.0	5554111.0	4510860.0	4510860.0	336240.0	170550.0
SRR2244755	5414530.0	5414530.0	5407521.0	5407521.0	5406288.0	5406288.0	4481001.0	4481001.0	299720.0	154754.0
SRR2244708	5497612.0	5497612.0	5491428.0	5491428.0	5490157.0	5490157.0	4549083.0	4549083.0	298364.0	161500.0
SRR2244294	4347323.0	4347323.0	4340738.0	4340738.0	4313447.0	4313447.0	3539923.0	3539923.0	230156.0	141388.0
SRR2237603	4203499.0	4203499.0	4197092.0	4197092.0	4170386.0	4170386.0	3493713.0	3493713.0	200647.0	127701.0
SRR2243898	5499037.0	5499037.0	5490780.0	5490780.0	5489584.0	5489584.0	4570369.0	4570369.0	260677.0	158073.0
SRR2237518	4279611.0	4279611.0	4274760.0	4274760.0	4248055.0	4248055.0	3543045.0	3543045.0	209197.0	132244.0
SRR2244606	5571479.0	5571479.0	5565330.0	5565330.0	5564146.0	5564146.0	4614562.0	4614562.0	269930.0	164201.0
SRR2245616	4117910.0	4117910.0	4111987.0	4111987.0	4075206.0	4075206.0	3404737.0	3404737.0	199997.0	123098.0
SRR2245559	4190739.0	4190739.0	4183732.0	4183732.0	4145318.0	4145318.0	3393546.0	3393546.0	228669.0	131220.0
SRR2243811	4126524.0	4126524.0	4121355.0	4121355.0	4084538.0	4084538.0	3398574.0	3398574.0	209483.0	123044.0
SRR2244495	4053620.0	4053620.0	4046893.0	4046893.0	4010044.0	4010044.0	3351507.0	3351507.0	201102.0	117933.0
SRR2237687	5453450.0	5453450.0	5448297.0	5448297.0	5445813.0	5445813.0	4416317.0	4416317.0	280346.0	161197.0
SRR2237425	5378530.0	5378530.0	5371631.0	5371631.0	5369040.0	5369040.0	4368564.0	4368564.0	269340.0	154123.0
SRR2237785	5581980.0	5581980.0	5574712.0	5574712.0	5572129.0	5572129.0	4459003.0	4459003.0	307735.0	172877.0
